sent,rules
DT NN VBZ DT NN,4 1 2*
DT NN VBZ DT NN IN DT NN,1 4 2*
NNP VBZ PRP,0 2 1*
NNP VBD DT NN WDT VBZ,0 3 1 6*
NNP VBD TO DT NN PRP VBD NNS PRP,0 
NNP CC NNP VBD WP DT JJ, 0 2 3 5 6
NNS VBP VBG NN,0 3 2	
PRP VBD NNS IN DT NNS, 0 2 1 3 5
NNP VBZ NNS TO PRP$ NNS, 0 2 1 4 5
PRP VBD JJ CD NNS RB,0 2 3 4 5
PRP VBP CD NNS,0 3 2 1
NNS VBP CD NNS,0 3 2 1
NNP VBP CD NNS,0 3 2 1
DT NNS VBP JJ, 0 1 3
NNP VBD JJ NNS TO NNP, 0 3 2 1 5
NNP VBD JJ NNS TO PRP, 0 3 2 1 5
NNP VBD JJ NNS TO VB, 0 3 2 1 5
PRP VBD JJ NNS TO PRP, 0 3 2 1 5
PRP VBD JJ NNS TO NNP, 0 3 2 1 5
PRP VBD JJ NNS TO VB, 0 3 2 1 5
PRP VBZ JJ NNS, 0 3 2 1*
NNP VBD CD NNS TO NNP,0 2 3 1 5
NNP VBD CD NNS TO VB,0 2 3 1 5
PRP VBD CD NNS TO PRP,0 2 3 1 5
PRP VBD CD NNS TO VB,0 2 3 1 5
PRP VBD CD NNS TO NNP,0 2 3 1 5
PRP VBD JJ NNS TO PRP, 0 3 2 1 5
PRP VBD NN, 2 0 1
NNP VBD NN, 2 0 1
PRP VBD TO NNP, 0 3 1
PRP VBD NNP DT NN, 0 2 1 4
PRP VBP PRP,0 1 2
NNP VBP NNP,0 1 2
NNP VBP PRP,0 1 2
PRP VBD JJ, 1 0 2
PRP MD VB TO NNP, 1 0 4 2
PRP MD VB TO VB, 1 0 4 2
NNP MD VB TO VB, 1 0 4 2
PRP VBD NNS IN DT NN NN, 6 0 2 1 5
PRP MD VB NN IN NN,3 4 5 0 2
PRP VBD CD NNS RB,0 3 2 4 1
PRP MD VB IN CD NNS, 0 5 4 1 2
NNP VBZ DT NN TO PRP, 0 3 1 5
PRP VBD NN IN DT NN NN, 2 1 5 6 0
PRP VBZ NN IN DT NN NN, 2 1 5 6 0
PRP MD VB DT NN, 1 0 4 2
PRP VBD VBG NNP IN NN CD NNS RB, 5 7 6 8 0 3 2
PRP VBP VBN RB RB, 0 2 1 3
NNP VBZ NN TO NNP RB CC RB, 0 4 2 1 5 7
PRP VBD DT NN IN DT NN,0 3 6 1 4
PRP VBP DT NN IN DT NN,0 3 6 1 4
PRP VBD DT NN IN NN,0 3 6 1 4
DT NN VBZ DT NN TO DT NN, 1 7 2 4
PRP VBD DT NN TO NNP, 0 3 1 5
DT NN VBZ VBG, 1 3#
PRP VBP JJ, 0 2
NN VBP JJ, 0 2
NN VBZ JJ, 0 2
NNS VBP JJ, 0 2
NNS VBZ	 JJ, 0 2
NNP VBP JJ, 0 2
NNP VBZ JJ, 0 2
PRP VBP DT NN, 0 3
PRP VBZ DT NN, 0 3
NNP VBZ DT NN, 0 3
NNP VBP DT NN, 0 3
NN VBP DT NN, 0 3
NNS VBP DT NN, 0 3
NNS VBZ DT NN, 0 3
NN VBZ DT NN, 0 3
NNS VBZ DT NN, 0 3
PRP VBP VBG, 0 2#
NNP VBP VBG, 0 2#
NN VBP VBG, 0 2#
DT NN VBZ JJ,1 3
DT NN VBP JJ,1 3
PRP VBP VBG, 0 2#
WP ., 0
WP VBZ PRP$ NN ., 2 3 0 4
WP VBP NNP NN ., 2# 3 0
WP VBP PRP NN ., 2# 3 0
WP VBP PRP NNS ., 2# 3 0
WP VBP PRP NN ., 2# 3 0
WP VBZ PRP NNS ., 2# 3 0
WP VBZ PRP NNP ., 2# 3 0
WP VBZ NNS NNS ., 2# 3 0
WP VBP NNS NNS ., 2# 3 0
WP VBP NNS NN ., 2# 3 0
WP VBZ NNP NN ., 2# 3 0
WP VBZ NN NNP ., 2# 3 0
WRB VBP PRP ., 2 0 3
WRB VBP NN ., 2 0 3
WRB VBP NNP ., 2 0 3
WRB VBZ NNP ., 2 0 3
WRB VBZ NN ., 2 0 3
PRP VBP RB VB, 0 2 3
NNP VBP RB VB, 0 2 3
NN VBZ RB VB, 0 2 3
NNS VBP RB VB, 0 2 3
NNS VBZ RB VB, 0 2 3
PRP VBZ RB VB, 0 2 3
PRP VBD RB VB, 0 2 3
NN VBD RB VB, 0 2 3
NNP VBD RB VB, 0 2 3
NNS VBD RB VB, 0 2 3
PRP MD RB VB, 0 2 3
PRP MD RB VB, 0 2 3
NNP MD RB VB, 0 2 3
NN MD RB VB, 0 2 3
NNS MD RB VB, 0 2 3
VB PRP, 0 1
VB NN, 0 1
VB NNS, 0 1
VB NNP, 0 1
NN PRP, 0 1
NN NNP,0 1
NN NNS,0 1
PRP$ NN VBZ NNP, 0 1 3
NNP WRB VBP PRP .,0 3 1 4
NNP NNP, 0 1
NN NN,0 1
VB VB, 0 1
VBZ DT NN NNP ., 2 3 4
VBZ DT NN NN ., 2 3 4
VBP PRP VBG ., 1 2# 3
NNP PRP VBG ., 1 2# 3
VBZ NNP VBG ., 1 2# 3
NNP NNP VBG ., 1 2# 3
VBZ DT NN JJ ., 2 3 4
VBZ PRP VB ., 1 2 3
VBZ NN VBG ., 1 2#
VBZ RBR VBG ., 1 2#
VBP PRP VB NNS ., 0 1 3* 2 4
VBP NN VB NNS ., 0 1 3* 2 4
VBP NNP VB NNS ., 0 1 3* 2 4
VBP NNS VB NNS ., 0 1 3* 2 4
VBP PRP VB ., 0 1 2 3
VBP NNP VB ., 0 1 2 3
VBP NN VB ., 0 1 2 3
VB PRP VB ., 0 1 2 3
VB NNP VB ., 0 1 2 3
VB NN VB ., 0 1 2 3

VBP PRP VB NN ., 0 1 3 2 4
VBP NNP VB NN ., 0 1 3 2 4
VBP NNS VB NN ., 0 1 3 2 4

VBZ DT NN JJ ., 2# 3 4
VBZ VBG JJ ., 1# 2 3
VBZ VBG RB ., 1# 2 3

PRP VBP RB VBG, 0 2 3#
NNP VBP RB VBG, 0 2 3#
NNP VBZ RB VBG, 0 2 3#
NN VBP RB VBG, 0 2 3#
NNP VBP RB VBG, 0 2 3#

DT NN VBZ RB JJ, 1 3 4
DT NNP VBZ RB JJ, 1 3 4
DT PRP VBZ RB JJ, 1 3 4
DT NN VBP RB JJ, 1 3 4


IN WP NN VBZ DT JJ NN VBN ., 5 6 7* 1 2 8

WP VBZ DT ., 0 2 3

WRB VBZ DT JJ NN VBG TO VB IN DT NN ., 3 4 7 10 0 11

WP VBZ DT NN IN JJ NN ., 5 6 3 0 7
WP VBZ DT NN IN DT NN ., 5 6 3 0 7
WP VBZ DT NN IN PRP NN ., 5 6 3 0 7

WRB VBP DT NN CC PRP$ NN VBG ., 3 5 6 7# 0 8
PRP VBP RB VBG, 0 2 4#
WRB VBZ DT NN VB NNP .,3 4 5 0 6
WRB VBZ DT NN IN ., 3 0 4 5
WP VBZ DT NN POS NN .,3 5 0 6
WP VBZ PRP$ NN .,2 5 0 4
IN WP NN ., 1 2 3
WRB JJ NN NNS VBP RB .,2 3* 0 1
WRB VBP PRP VB RB ., 2 3 4 0 5
WRB VBP NNP VB RB ., 2 3 4 0 5
WRB VBP NN VB RB ., 2 3 4 0 5
WP VBZ DT NN ., 3 0 4
WP VBZ DT NNP ., 3 0 4
WP VBZ DT PRP ., 3 0 4
WP DT PRP ., 2 0 3
WRB VBP PRP VBG ., 2 3# 0 4
WRB VBZ DT NN NN ., 3 4 0 5
WRB JJ NNS VBP IN PRP$ NN .,5 6 2* 0 1 7
NNP CD MD PRP VB .,3 4 0 1 5
WRB VBZ DT JJ NN ., 3 4 0 5
WRB VBZ DT NN ., 3 0 4
WRB VBZ DT VBN ., 3 0 4
WRB VBZ DT PRP ., 3 0 4
WRB VBZ DT PRP$ ., 3 0 4

WRB VBZ DT NN .,3 0 4
WRB VBP PRP JJ ., 2 3 0 4
WP NN VBZ DT NN NN .,  4 5 0 1 6 
IN WP NN VBZ DT NN JJ ., 5 6 1 2
WRB VBZ NNS ., 2 0 3
WP VBZ PRP$ NN ., 2 3 0 4
WP VBZ DT NN ., 3 0 4
WP VBP PRP VBG IN ., 2 3 4 0
WP VBZ VBG ., 2# 0 3
IN CD VBP PRP VBG .,3 4# 0 1 5
WRB VBZ PRP VBD .,2 3# 0 4
IN WP NN VBP PRP VBG TO VB .,4 7 1 2 8
WRB VBP PRP VBG .,2 3 0 4
WRB JJ NNS MD PRP VB .,4 5 2 0 1 6
WRB JJ NNS VBP PRP VB .,4 2 0 1 5 6
WDT NN VBZ JJ .,3 1 0 4
WDT IN PRP VBZ NNP .,2 4 0 5
WRB VBZ DT NN .,3 0 4
WRB VBD DT NNS VB .,3 4 0 5
WRB VBP PRP JJ .,2 3 0 4
IN WP NN VBZ DT NN RB .,5 6 1 2 7
WRB VBZ NN ., 3 0 4
WRB VBZ VBN ., 3 0 4
WP VBZ PRP ., 2 0 3
WRB VBZ DT NN ., 3 0 4
WRB JJ VBZ DT NN .,4 0 1 5
WP VBP PRP VB ., 2# 3 0 4
NNP IN PRP VBP PRP IN .,4 5 0 2 6
WRB PRP VBZ VBG .,1 3 0 4
IN WP NN VBP PRP VBG .,4 5# 1 2 6
WRB VB PRP VB .,2 3 0 4
WRB JJ VBZ PRP VB ., 3 4 0 1 5
WRB VBZ PRP$ NN ., 2* 3 0 4
WRB RB VBP PRP VBN TO NN ., 3 6 0 1 7
WRB JJ NNS CC NNS VBP PRP VB .,6 2# 4# 0 1 7 8
WRB JJ JJ VBP PRP VB .,4 2 0 1 5 6 7
WRB JJ VBP PRP ., 0 3 1 4
IN PRP VBP VBG CC RB ., 0 1 3# 4 5 6
IN PRP$ NN VBZ JJ CC JJ ., 0 1 2 4 5 6 7
IN PRP VBP NNS .,0 1 3* 2 4
IN PRP VBD .,1 2 3
VBZ PRP VBD ., 1 2# 3
VBZ PRP VBN ., 1 2# 3
VBP PRP VBG ., 1 2 3
VBP PRP VBN .,1 2*
VBZ DT NN VBG ., 2 3 4*
VBZ DT NN JJ .,2 3 4
NN NN, 0 1
PRP$ NN VBZ JJ, 0 1 3
DT NN VBZ RB JJ ., 1 3 4
PRP VBP RB VB NN, 0 4 2 3
PRP VBZ RB VB NN, 0 4 2 3
PRP VBZ RB VB NNP, 0 4 2 3
PRP VBZ RB VB PRP, 0 4 2 3
NNP VBZ RB VB PRP, 0 4 2 3
NN VBZ RB VB PRP, 0 4 2 3
NNP VBP RB VB NN, 0 4 2 3
NN VBP RB VB NN, 0 4 2 3
NN VBP RB VB NNP, 0 4 2 3

PRP VBZ RB VBN RB,0 3# 2 4
PRP VBP RB NNS,0 2 3*
DT NN VBZ RB JJ PRP VBZ JJ,1 3 4 5 7
DT NN VBD RB VB, 1 3 4
DT NN VBD RB VB PRP VBD, 0 3 4 5 6
PRP VBP RB JJ,0 2 3
PRP VBZ RB JJ,0 2 3
NNP VBP RB JJ,0 2 3
NNP VBZ RB JJ,0 2 3
NN VBP RB JJ,0 2 3
NN VBZ RB JJ,0 2 3
EX VBP RB JJ NNS RB DT JJ,0 2 3 4 5 7
PRP$ NN VBZ RB JJ PRP VBZ JJ,0 1 3 4 5 7
DT NN, 0 1
DT PRP, 0 1
DT NNP, 0 1
DT NNS, 0 1
NNP VBZ RB DT NN,0 2 4
NN VBZ RB DT NN,0 2 4
DT NN VBZ RB VBG,1 3 4#
NNS VBP RB IN PRP,0 2 3
NNS VBP RB IN NN,0 2 3
NNS VBP RB IN NNP,0 2 3
NNP VBZ RB JJ PRP VBZ JJ, 0 2 3 4 6
DT VBZ RB DT NN PRP VBZ DT NN, 0 2 3 4 6
DT VBZ RB NN PRP VBZ NN, 0 2 3 4 6
DT VBZ RB NN PRP VBZ JJ, 0 2 3 4 6
EX VBZ DT NN,0 2 3
PRP VBZ RB JJ,0 2 3
PRP VBD RB VB PRP VBD,0 2 3 4 5#
MD PRP IN NN .,1 2 3 4
DT NN PRP,0 1 2
DT NN VBP NN, 0 2 3
DT PRP VBP NN, 0 2 3
DT NNP VBP NN, 0 2 3
DT NN VBZ NN, 0 2 3
DT PRP VBZ NN, 0 2 3
DT NNP VBZ NN, 0 2 3

DT NN VBP JJ, 0 2 3
DT PRP VBP JJ, 0 2 3
DT NNP VBP JJ, 0 2 3
DT NN VBZ RB, 0 2 3
DT PRP VBZ RB, 0 2 3
DT NNP VBZ RB, 0 2 3

MD PRP VB VBG .,1 2 3# 4
EX VBP CD NNS IN DT NN, 0 6 2 3*
DT NN VBZ CD NNS, 1 3 4*
WRB JJ NNS VBZ DT NN VB ., 5 2* 0 1 7
DT NN VBP CD NNS,3 4* 2
RB NNS VBP DT JJ NN, 0 1 4 5
VBP PRP VB DT JJ NN .,1 4 5 2 6
VBP PRP VB DT NN .,1 4 2 5
DT NN VBP RB VB DT NN, 0 1 3 4 6
DT DT VBP RB PRP$ NNS,0 1 3 4 5
VBZ DT PRP$ JJ NN ., 1 2 3 4 5
WRB JJ NNS VBP IN DT NN .,6 2 0 1 7
EX VBP VBG NNS IN DT NN .,6 2 3*
WP VBZ PRP$ NN NN ., 2 3* 4 0 5
PRP$ NN NN VBZ CD,0 1 2 4
NN MD VB CD, 0 2 3
WRB JJ NN MD PRP VB ., 4 5 2 0 1 6
PRP VBZ VBD CD NN, 0 2* 3 4
PRP VBZ VBD CD, 0 2* 3
PRP VBZ VBD NN, 0 2* 3
PRP VBZ VBD NNP, 0 2* 3
PRP VBZ VBD PRP, 0 2* 3

WP NN VBZ PRP$ NN VBD IN DT NN ., 3# 4 8 0 1 9
WRB JJ VBZ DT NN NN ., 4 5 0 1 6
DT NN NN CD, 1 2 3
WRB JJ NNS VBP RB IN NNP ., 6 2 0 1 7
EX VBP CD NNS IN NNP,5 2 3
WRB JJ NNS VBZ DT NN VBP ., 5 6 2 0 1 7
DT NN VBZ CD NN, 1 3 4 2
WRB DT NN MD VB VBN ., 2 5* 0 6
WRB JJ NNS DT NN VBZ ., 4 2 0 1 6
DT NN TO VB VBN IN DT NN, 7 1 4
WRB DT NN MD VB VBN .,2 5* 0 6
VBZ DT NN DT JJ NN NN IN PRP$ NN ., 8 9 2 4 5 6 10
WRB RB VBD DT NN NN IN DT NN POS NN .,4 5 8 10 0 1 11
NN NN, 0 1


